fecha;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2023-01-22;1.28997;1.34201;1.38815;1.42251;1.44436;1.43575;1.39611;1.34188;1.29038;1.19259;1.1028;1.07554;1.08069;1.05691;1.05737;1.11142;1.15286;1.19326;1.18553;1.19825;1.2062;1.20605;1.22885;1.28206
2023-01-23;1.32339;1.38975;1.43871;1.45208;1.45152;1.38746;1.25368;1.12656;1.13584;1.11347;1.06449;1.05816;1.0602;1.04788;1.05803;1.09408;1.11544;1.13358;1.13984;1.1512;1.15903;1.17261;1.20763;1.2531
2023-01-24;1.22864;1.2896;1.32385;1.34441;1.33512;1.30165;1.21591;1.10818;1.12383;1.10499;1.06308;1.06442;1.0748;1.0652;1.07672;1.11124;1.13168;1.13332;1.13619;1.1462;1.15162;1.16204;1.21976;1.27086
2023-01-25;1.25089;1.30877;1.35359;1.36856;1.36687;1.33998;1.22725;1.10463;1.13817;1.12764;1.08383;1.07733;1.07872;1.07189;1.07878;1.11141;1.12904;1.14085;1.157;1.16972;1.16603;1.15768;1.20361;1.26817
2023-01-26;1.21913;1.2868;1.32063;1.32934;1.32913;1.31587;1.20921;1.10553;1.13755;1.12567;1.08291;1.07956;1.07744;1.06034;1.05;1.09624;1.11835;1.1297;1.16027;1.17921;1.18934;1.18478;1.21643;1.2616
2023-01-27;1.27999;1.33974;1.37263;1.40586;1.41507;1.36054;1.2575;1.152;1.17569;1.14064;1.0839;1.08162;1.09264;1.07815;1.08574;1.12159;1.1506;1.16415;1.18105;1.22227;1.23531;1.23879;1.27061;1.30276
2023-01-28;1.24677;1.30029;1.35719;1.39142;1.40245;1.3967;1.34724;1.29223;1.23058;1.13373;1.0649;1.05088;1.05973;1.05195;1.06573;1.11804;1.15752;1.18098;1.19635;1.2121;1.22457;1.2203;1.22811;1.2555
2023-01-29;1.28997;1.34201;1.38815;1.42251;1.44436;1.43575;1.39611;1.34188;1.29038;1.19259;1.1028;1.07554;1.08069;1.05691;1.05737;1.11142;1.15286;1.19326;1.18553;1.19825;1.2062;1.20605;1.22885;1.28206
2023-01-30;1.32339;1.38975;1.43871;1.45208;1.45152;1.38746;1.25368;1.12656;1.13584;1.11347;1.06449;1.05816;1.0602;1.04788;1.05803;1.09408;1.11544;1.13358;1.13984;1.1512;1.15903;1.17261;1.20763;1.2531
2023-01-31;1.22864;1.2896;1.32385;1.34441;1.33512;1.30165;1.21591;1.10818;1.12383;1.10499;1.06308;1.06442;1.0748;1.0652;1.07672;1.11124;1.13168;1.13332;1.13619;1.1462;1.15162;1.16204;1.21976;1.27086
2023-02-01;1.22023;1.26891;1.29591;1.31833;1.30639;1.26503;1.15007;1.0467;1.07396;1.0395;1.01249;1.01829;1.01387;0.9955;1.00764;1.03064;1.05368;1.05977;1.06471;1.07284;1.09886;1.12028;1.18478;1.22862
2023-02-02;1.19758;1.25403;1.29561;1.3234;1.3269;1.28233;1.14576;1.04271;1.07556;1.03607;1.00144;0.99282;0.99333;0.97126;0.98309;1.02524;1.04937;1.07168;1.08183;1.08135;1.11716;1.14915;1.20261;1.24416
2023-02-03;1.20768;1.24922;1.28674;1.29932;1.30279;1.26832;1.16394;1.06016;1.08831;1.04965;1.00123;0.99461;0.99025;0.98185;1.00724;1.03626;1.0575;1.07232;1.10065;1.13148;1.1623;1.18373;1.22006;1.24173
2023-02-04;1.21523;1.2593;1.30252;1.32557;1.35837;1.32648;1.27608;1.20597;1.14858;1.05434;1.01119;1.0008;1.01632;1.0258;1.05135;1.10631;1.15823;1.15476;1.15461;1.18497;1.21209;1.20341;1.22877;1.2703
2023-02-05;1.27517;1.34341;1.38646;1.42287;1.42605;1.40667;1.3678;1.32133;1.25106;1.11967;1.04963;1.03806;1.04993;1.03904;1.0378;1.10114;1.14291;1.16124;1.1729;1.16308;1.17331;1.17768;1.20559;1.2589
2023-02-06;1.28778;1.35622;1.39011;1.38718;1.37752;1.32757;1.17673;1.05252;1.06911;1.02412;0.99889;1.00812;1.00909;0.99811;1.01072;1.04776;1.06936;1.06601;1.07228;1.08667;1.12031;1.15676;1.22804;1.26977
2023-02-07;1.2363;1.27904;1.30831;1.31566;1.31353;1.27778;1.16704;1.06544;1.09715;1.04458;1.01261;1.01999;1.02252;0.99909;1.01077;1.04192;1.06376;1.05954;1.07816;1.0991;1.11871;1.14253;1.19682;1.23493
2023-02-08;1.22023;1.26891;1.29591;1.31833;1.30639;1.26503;1.15007;1.0467;1.07396;1.0395;1.01249;1.01829;1.01387;0.9955;1.00764;1.03064;1.05368;1.05977;1.06471;1.07284;1.09886;1.12028;1.18478;1.22862
2023-02-09;1.19758;1.25403;1.29561;1.3234;1.3269;1.28233;1.14576;1.04271;1.07556;1.03607;1.00144;0.99282;0.99333;0.97126;0.98309;1.02524;1.04937;1.07168;1.08183;1.08135;1.11716;1.14915;1.20261;1.24416
2023-02-10;1.20768;1.24922;1.28674;1.29932;1.30279;1.26832;1.16394;1.06016;1.08831;1.04965;1.00123;0.99461;0.99025;0.98185;1.00724;1.03626;1.0575;1.07232;1.10065;1.13148;1.1623;1.18373;1.22006;1.24173
2023-02-11;1.21523;1.2593;1.30252;1.32557;1.35837;1.32648;1.27608;1.20597;1.14858;1.05434;1.01119;1.0008;1.01632;1.0258;1.05135;1.10631;1.15823;1.15476;1.15461;1.18497;1.21209;1.20341;1.22877;1.2703
2023-02-12;1.27517;1.34341;1.38646;1.42287;1.42605;1.40667;1.3678;1.32133;1.25106;1.11967;1.04963;1.03806;1.04993;1.03904;1.0378;1.10114;1.14291;1.16124;1.1729;1.16308;1.17331;1.17768;1.20559;1.2589
2023-02-13;1.28778;1.35622;1.39011;1.38718;1.37752;1.32757;1.17673;1.05252;1.06911;1.02412;0.99889;1.00812;1.00909;0.99811;1.01072;1.04776;1.06936;1.06601;1.07228;1.08667;1.12031;1.15676;1.22804;1.26977
2023-02-14;1.2363;1.27904;1.30831;1.31566;1.31353;1.27778;1.16704;1.06544;1.09715;1.04458;1.01261;1.01999;1.02252;0.99909;1.01077;1.04192;1.06376;1.05954;1.07816;1.0991;1.11871;1.14253;1.19682;1.23493
2023-02-15;1.22023;1.26891;1.29591;1.31833;1.30639;1.26503;1.15007;1.0467;1.07396;1.0395;1.01249;1.01829;1.01387;0.9955;1.00764;1.03064;1.05368;1.05977;1.06471;1.07284;1.09886;1.12028;1.18478;1.22862
2023-02-16;1.19758;1.25403;1.29561;1.3234;1.3269;1.28233;1.14576;1.04271;1.07556;1.03607;1.00144;0.99282;0.99333;0.97126;0.98309;1.02524;1.04937;1.07168;1.08183;1.08135;1.11716;1.14915;1.20261;1.24416
2023-02-17;1.20768;1.24922;1.28674;1.29932;1.30279;1.26832;1.16394;1.06016;1.08831;1.04965;1.00123;0.99461;0.99025;0.98185;1.00724;1.03626;1.0575;1.07232;1.10065;1.13148;1.1623;1.18373;1.22006;1.24173
2023-02-18;1.21523;1.2593;1.30252;1.32557;1.35837;1.32648;1.27608;1.20597;1.14858;1.05434;1.01119;1.0008;1.01632;1.0258;1.05135;1.10631;1.15823;1.15476;1.15461;1.18497;1.21209;1.20341;1.22877;1.2703
2023-02-19;1.27517;1.34341;1.38646;1.42287;1.42605;1.40667;1.3678;1.32133;1.25106;1.11967;1.04963;1.03806;1.04993;1.03904;1.0378;1.10114;1.14291;1.16124;1.1729;1.16308;1.17331;1.17768;1.20559;1.2589
2023-02-20;1.28778;1.35622;1.39011;1.38718;1.37752;1.32757;1.17673;1.05252;1.06911;1.02412;0.99889;1.00812;1.00909;0.99811;1.01072;1.04776;1.06936;1.06601;1.07228;1.08667;1.12031;1.15676;1.22804;1.26977
2023-02-21;1.2363;1.27904;1.30831;1.31566;1.31353;1.27778;1.16704;1.06544;1.09715;1.04458;1.01261;1.01999;1.02252;0.99909;1.01077;1.04192;1.06376;1.05954;1.07816;1.0991;1.11871;1.14253;1.19682;1.23493
2023-02-22;1.22023;1.26891;1.29591;1.31833;1.30639;1.26503;1.15007;1.0467;1.07396;1.0395;1.01249;1.01829;1.01387;0.9955;1.00764;1.03064;1.05368;1.05977;1.06471;1.07284;1.09886;1.12028;1.18478;1.22862
2023-02-23;1.19758;1.25403;1.29561;1.3234;1.3269;1.28233;1.14576;1.04271;1.07556;1.03607;1.00144;0.99282;0.99333;0.97126;0.98309;1.02524;1.04937;1.07168;1.08183;1.08135;1.11716;1.14915;1.20261;1.24416
2023-02-24;1.20768;1.24922;1.28674;1.29932;1.30279;1.26832;1.16394;1.06016;1.08831;1.04965;1.00123;0.99461;0.99025;0.98185;1.00724;1.03626;1.0575;1.07232;1.10065;1.13148;1.1623;1.18373;1.22006;1.24173
2023-02-25;1.21523;1.2593;1.30252;1.32557;1.35837;1.32648;1.27608;1.20597;1.14858;1.05434;1.01119;1.0008;1.01632;1.0258;1.05135;1.10631;1.15823;1.15476;1.15461;1.18497;1.21209;1.20341;1.22877;1.2703
2023-02-26;1.27517;1.34341;1.38646;1.42287;1.42605;1.40667;1.3678;1.32133;1.25106;1.11967;1.04963;1.03806;1.04993;1.03904;1.0378;1.10114;1.14291;1.16124;1.1729;1.16308;1.17331;1.17768;1.20559;1.2589
2023-02-27;1.28778;1.35622;1.39011;1.38718;1.37752;1.32757;1.17673;1.05252;1.06911;1.02412;0.99889;1.00812;1.00909;0.99811;1.01072;1.04776;1.06936;1.06601;1.07228;1.08667;1.12031;1.15676;1.22804;1.26977
2023-02-28;1.2363;1.27904;1.30831;1.31566;1.31353;1.27778;1.16704;1.06544;1.09715;1.04458;1.01261;1.01999;1.02252;0.99909;1.01077;1.04192;1.06376;1.05954;1.07816;1.0991;1.11871;1.14253;1.19682;1.23493
2023-03-01;1.22069;1.26789;1.31661;1.30231;1.29736;1.27511;1.19572;1.10687;1.1628;1.05544;1.02057;1.02864;1.04034;1.03488;1.09808;1.1393;1.16832;1.17786;1.13558;1.14992;1.16293;1.18035;1.28971;1.33547
2023-03-02;1.25319;1.31025;1.34367;1.35169;1.34668;1.30822;1.21774;1.12252;1.17682;1.06746;1.02674;1.02541;1.03706;1.02457;1.09573;1.1424;1.18586;1.23085;1.18998;1.20255;1.21037;1.22184;1.32375;1.36061
2023-03-03;1.2831;1.34077;1.36807;1.37642;1.37231;1.34998;1.23874;1.12565;1.1836;1.08168;1.02366;1.01259;1.00992;1.0131;1.08383;1.12463;1.1501;1.17035;1.13615;1.16815;1.18726;1.21199;1.3094;1.34953
2023-03-04;1.24537;1.29457;1.3388;1.36522;1.38222;1.36774;1.32903;1.26207;1.1557;1.07168;1.02342;1.01885;1.02806;1.03349;1.0364;1.08529;1.12474;1.16381;1.19752;1.2095;1.21289;1.22909;1.25259;1.28028
2023-03-05;1.29153;1.32619;1.37233;1.43823;1.43177;1.4057;1.37261;1.30817;1.19085;1.07422;1.03745;1.03706;1.06711;1.04755;1.06454;1.11336;1.13712;1.15128;1.14031;1.1509;1.13559;1.17338;1.20245;1.24816
2023-03-06;1.2853;1.35128;1.37468;1.38922;1.38504;1.33258;1.22782;1.10316;1.13596;1.06112;1.02784;1.04238;1.04765;1.03574;1.09753;1.13919;1.14753;1.16762;1.13896;1.15226;1.14962;1.18433;1.30604;1.34166
2023-03-07;1.24796;1.3018;1.33541;1.34506;1.33966;1.30226;1.18784;1.08444;1.13754;1.04058;1.00236;0.99661;0.99973;0.99289;1.0632;1.09896;1.12342;1.1381;1.0937;1.11527;1.13622;1.15769;1.26373;1.30862
2023-03-08;1.22069;1.26789;1.31661;1.30231;1.29736;1.27511;1.19572;1.10687;1.1628;1.05544;1.02057;1.02864;1.04034;1.03488;1.09808;1.1393;1.16832;1.17786;1.13558;1.14992;1.16293;1.18035;1.28971;1.33547
2023-03-09;1.25319;1.31025;1.34367;1.35169;1.34668;1.30822;1.21774;1.12252;1.17682;1.06746;1.02674;1.02541;1.03706;1.02457;1.09573;1.1424;1.18586;1.23085;1.18998;1.20255;1.21037;1.22184;1.32375;1.36061
2023-03-10;1.2831;1.34077;1.36807;1.37642;1.37231;1.34998;1.23874;1.12565;1.1836;1.08168;1.02366;1.01259;1.00992;1.0131;1.08383;1.12463;1.1501;1.17035;1.13615;1.16815;1.18726;1.21199;1.3094;1.34953
2023-03-11;1.24537;1.29457;1.3388;1.36522;1.38222;1.36774;1.32903;1.26207;1.1557;1.07168;1.02342;1.01885;1.02806;1.03349;1.0364;1.08529;1.12474;1.16381;1.19752;1.2095;1.21289;1.22909;1.25259;1.28028
2023-03-12;1.29153;1.32619;1.37233;1.43823;1.43177;1.4057;1.37261;1.30817;1.19085;1.07422;1.03745;1.03706;1.06711;1.04755;1.06454;1.11336;1.13712;1.15128;1.14031;1.1509;1.13559;1.17338;1.20245;1.24816
2023-03-13;1.2853;1.35128;1.37468;1.38922;1.38504;1.33258;1.22782;1.10316;1.13596;1.06112;1.02784;1.04238;1.04765;1.03574;1.09753;1.13919;1.14753;1.16762;1.13896;1.15226;1.14962;1.18433;1.30604;1.34166
2023-03-14;1.24796;1.3018;1.33541;1.34506;1.33966;1.30226;1.18784;1.08444;1.13754;1.04058;1.00236;0.99661;0.99973;0.99289;1.0632;1.09896;1.12342;1.1381;1.0937;1.11527;1.13622;1.15769;1.26373;1.30862
2023-03-15;1.22069;1.26789;1.31661;1.30231;1.29736;1.27511;1.19572;1.10687;1.1628;1.05544;1.02057;1.02864;1.04034;1.03488;1.09808;1.1393;1.16832;1.17786;1.13558;1.14992;1.16293;1.18035;1.28971;1.33547
2023-03-16;1.25319;1.31025;1.34367;1.35169;1.34668;1.30822;1.21774;1.12252;1.17682;1.06746;1.02674;1.02541;1.03706;1.02457;1.09573;1.1424;1.18586;1.23085;1.18998;1.20255;1.21037;1.22184;1.32375;1.36061
2023-03-17;1.2831;1.34077;1.36807;1.37642;1.37231;1.34998;1.23874;1.12565;1.1836;1.08168;1.02366;1.01259;1.00992;1.0131;1.08383;1.12463;1.1501;1.17035;1.13615;1.16815;1.18726;1.21199;1.3094;1.34953
2023-03-18;1.24537;1.29457;1.3388;1.36522;1.38222;1.36774;1.32903;1.26207;1.1557;1.07168;1.02342;1.01885;1.02806;1.03349;1.0364;1.08529;1.12474;1.16381;1.19752;1.2095;1.21289;1.22909;1.25259;1.28028
2023-03-19;1.29153;1.32619;1.37233;1.43823;1.43177;1.4057;1.37261;1.30817;1.19085;1.07422;1.03745;1.03706;1.06711;1.04755;1.06454;1.11336;1.13712;1.15128;1.14031;1.1509;1.13559;1.17338;1.20245;1.24816
2023-03-20;1.2853;1.35128;1.37468;1.38922;1.38504;1.33258;1.22782;1.10316;1.13596;1.06112;1.02784;1.04238;1.04765;1.03574;1.09753;1.13919;1.14753;1.16762;1.13896;1.15226;1.14962;1.18433;1.30604;1.34166
